x,y,theta,u0,u1
0.5,8.04084e-40,1.56741,8.04084e-39,-0.0338942
0.500134,0.0395397,1.62645,0.395399,0.590463
0.497201,0.09218,1.6284,0.52722,0.0194794
0.494081,0.146284,1.7079,0.541935,0.795022
0.485135,0.21112,1.68177,0.65451,-0.261287
0.478874,0.267306,1.61043,0.565337,-0.713473
0.475451,0.35363,1.55095,0.863917,-0.59477
0.477299,0.446699,1.47003,0.930866,-0.809248
0.480028,0.473692,1.50116,0.271308,0.31133
0.481,0.487625,1.34564,0.139673,-1.55515
0.496417,0.55494,1.3379,0.69058,-0.0773907
0.508015,0.603835,1.31283,0.50252,-0.250744
0.512159,0.619543,1.36014,0.162448,0.473146
0.520361,0.657899,1.4007,0.392231,0.405574
0.537129,0.755525,1.49993,0.990562,0.992303
0.538096,0.769151,1.44705,0.136593,-0.528864
0.540365,0.787393,1.54683,0.18383,0.997837
0.541826,0.848343,1.53409,0.609678,-0.127433
0.541826,0.848343,1.51695,1.75356e-21,-0.171377
0.541828,0.84838,1.38569,0.000370772,-1.31261
0.560233,0.946672,1.32513,1,-0.605567
0.58455,1.04365,1.25388,0.999841,-0.712486
0.58455,1.04365,1.23051,1.83003e-09,-0.233681
0.593397,1.06864,1.22715,0.265085,-0.0336746
0.593397,1.06864,1.16171,9.59653e-35,-0.654385
0.600372,1.08473,1.17464,0.175364,0.129289
0.600656,1.08541,1.26791,0.00734464,0.932716
0.604354,1.09724,1.14035,0.123998,-1.27563
0.613138,1.11637,1.06594,0.210497,-0.744101
0.645816,1.17551,1.02297,0.675604,-0.429625
0.656938,1.19373,1.03094,0.213533,0.079669
0.662046,1.20226,1.18797,0.0993778,1.57035
0.68172,1.25112,1.16279,0.526703,-0.251887
0.68172,1.25112,1.07685,1.29293e-20,-0.859324
0.72913,1.33916,1.02835,1,-0.485042
0.72913,1.33916,0.895568,9.79102e-09,-1.32782
0.72913,1.33916,0.936726,1.41812e-18,0.411582
0.779493,1.40765,0.944455,0.850107,0.0772925
0.789105,1.42094,0.982443,0.16398,0.379876
0.829839,1.48199,1.05726,0.733959,0.748184
0.845894,1.51046,0.971054,0.326814,-0.862074
0.857647,1.52764,0.945249,0.20822,-0.258046
0.881581,1.56078,0.813686,0.408757,-1.31563
0.950264,1.63346,0.66694,1,-1.46746
0.968554,1.64786,0.725036,0.232788,0.580963
0.982156,1.65991,0.601828,0.181729,-1.23208
0.982156,1.65991,0.497983,2.39626e-34,-1.03846
1.03684,1.68965,0.470994,0.622443,-0.269887
1.12168,1.73285,0.364187,0.952048,-1.06807
1.12733,1.735,0.207107,0.0604217,-1.5708
1.14857,1.73946,0.339399,0.217098,1.32291
1.2202,1.76475,0.456267,0.759617,1.16868
1.2202,1.76475,0.473586,3.48233e-306,0.173182
1.24879,1.77941,0.340457,0.321313,-1.33129
1.24953,1.77967,0.43443,0.00775304,0.939738
1.33696,1.82023,0.422936,0.963867,-0.114941
1.3546,1.82817,0.440769,0.193434,0.178327
1.39688,1.84812,0.533334,0.467527,0.925651
1.43933,1.87318,0.582216,0.492893,0.488816
1.44859,1.87928,0.449654,0.110875,-1.32561
1.51255,1.91015,0.326276,0.710271,-1.23378
1.60728,1.9422,0.291625,1,-0.346512
1.61068,1.94322,0.243107,0.0354901,-0.485181
1.65293,1.9537,0.126214,0.435298,-1.16893
1.74762,1.96571,0.227306,0.954567,1.01092
1.84055,1.98721,0.384378,0.953746,1.57072
1.85865,1.99453,0.380428,0.195312,-0.0395031
1.87846,2.00245,0.536677,0.213374,1.56249
1.89496,2.01227,0.675777,0.191972,1.391
1.95169,2.05775,0.7143,0.727127,0.385234
1.97081,2.07432,0.768571,0.252989,0.542712
2.0427,2.14384,0.763262,1,-0.0530979
2.11203,2.21016,0.849745,0.95946,0.864829
2.17805,2.28527,0.990786,0.999998,1.41041
2.21513,2.34188,1.14005,0.676732,1.4926
2.25644,2.43176,1.15353,0.98916,0.134791
2.28115,2.48751,1.17596,0.609835,0.2243
2.30322,2.54047,1.33303,0.573732,1.5708
2.32677,2.63765,1.47646,1,1.43427
2.33501,2.72474,1.61945,0.874786,1.42991
2.33136,2.79979,1.70755,0.751359,0.881014
2.31772,2.89886,1.66288,1,-0.446725
2.30853,2.99843,1.79578,1,1.32893
2.28622,3.09591,1.67489,0.999999,-1.20881
2.28305,3.12628,1.79578,0.305346,1.20884
2.26298,3.21397,1.73448,0.899567,-0.612956
2.25505,3.26197,1.85943,0.486517,1.24951
2.2266,3.3578,1.95387,0.999631,0.944307
2.22071,3.37242,2.06583,0.157597,1.11965
2.1732,3.46041,2.1203,1,0.544681
2.15456,3.49085,2.25019,0.356944,1.29893
2.09173,3.56865,2.40727,1,1.5708
2.01802,3.63519,2.38098,0.992965,-0.262938
1.94558,3.70412,2.44925,1,0.682706
1.87494,3.7627,2.54001,0.917639,0.907661
1.81335,3.80498,2.4427,0.747056,-0.973153
1.7542,3.85469,2.59099,0.772629,1.48289
1.67806,3.90144,2.61503,0.893516,0.240404
1.63705,3.92528,2.46193,0.474357,-1.53099
1.5677,3.98132,2.59944,0.891654,1.37507
1.51199,4.01488,2.65762,0.65037,0.58185
1.43532,4.05518,2.73377,0.866096,0.761469
1.39993,4.07047,2.84561,0.38553,1.11838
1.3226,4.09405,2.83472,0.808426,-0.108861
1.25495,4.11549,2.76399,0.709696,-0.707332
1.16286,4.15201,2.84466,0.990712,0.806745
1.06723,4.18127,2.76378,1,-0.808829
1.01871,4.20053,2.74348,0.52204,-0.202975
0.93921,4.23397,2.6507,0.862467,-0.927853
0.93604,4.23566,2.69221,0.0359508,0.415116
0.845969,4.2791,2.65265,0.999994,-0.395534
0.790303,4.30872,2.73653,0.630538,0.838753
0.764335,4.31985,2.70867,0.282544,-0.278593
0.697265,4.35085,2.60793,0.73887,-1.00737
0.697265,4.35085,2.47175,3.12004e-41,-1.36178
0.618881,4.41293,2.36828,0.999888,-1.03472
0.59782,4.43349,2.48975,0.29432,1.21463
0.57131,4.45372,2.37639,0.333463,-1.13354
0.547726,4.47637,2.25909,0.327,-1.17299
0.516153,4.51476,2.17058,0.497043,-0.885075
0.51439,4.51733,2.01352,0.0312172,-1.57064
0.504481,4.53823,1.85974,0.231315,-1.53778
0.495384,4.56884,1.7885,0.319263,-0.712414
0.495362,4.56893,1.68747,0.000987966,-1.01035
0.483796,4.66762,1.57145,0.993613,-1.16019
0.483759,4.72472,1.54987,0.57098,-0.215763
0.484837,4.77621,1.58886,0.515024,0.389872
0.484296,4.80611,1.55586,0.299062,-0.33001
0.484296,4.80611,1.53921,9.16428e-16,-0.166477
0.48459,4.8154,1.57442,0.0929703,0.352127
0.484515,4.83597,1.58456,0.205679,0.101329
0.484515,4.83597,1.61165,5.28369e-16,0.270909
0.48443,4.83807,1.65998,0.0209882,0.483386
0.484128,4.84144,1.69301,0.0338304,0.33022
0.480874,4.86793,1.718,0.266975,0.249977
0.480874,4.86793,1.69775,4.81489e-14,-0.20259
0.476314,4.90366,1.80093,0.360118,1.0318
0.472983,4.91788,1.77852,0.14604,-0.224068
0.469557,4.93413,1.84041,0.166136,0.618905
0.467883,4.94019,1.75404,0.0628417,-0.863691
0.467883,4.94019,1.60033,1.31501e-36,-1.53712
